knife|Knife with Runes
knife with runes|Knife with Runes
thistle filled bushes|Thistle filled bushes
thistle|Thistle filled bushes
bush|Thistle filled bushes
bushes|Thistle filled bushes
bag|Bag with Strange Runes
bag with strange runes|Bag with Strange Runes
leafs filled branch|leafs filled branch
leaf filled branch|leafs filled branch
leafs|leafs filled branch
branch|leafs filled branch
water bottle|Water Bottle
bottle|Water Bottle
water|Water Bottle
grazing animal with a strange stone on its back|Grazing Animal with a strange stone on its back
grazing animal with a strange stone|Grazing Animal with a strange stone on its back
grazing animal with strange stone on back|Grazing Animal with a strange stone on its back
grazing animal with strange stone|Grazing Animal with a strange stone on its back
grazing animal|Grazing Animal with a strange stone on its back
red ochre rock|Red Ochre rock
red rock|Red Ochre rock
predator|Predator
stone|stone
stone with spiral symbol|Stone with Spiral Symbol
stone with spiral|Stone with Spiral Symbol
spiral stone|Stone with Spiral Symbol
spiral symbol|Stone with Spiral Symbol
stone with lightning symbol|Stone with Lightning Symbol
stone with lightning|Stone with Lightning Symbol
lightning stone|Stone with Lightning Symbol
lightning symbol|Stone with Lightning Symbol
stone with lightning symbol|Stone with Lightning Symbol
stone with lightning|Stone with Lightning Symbol
lightning stone|Stone with Lightning Symbol
lightning symbol|Stone with Lightning Symbol
stone with sword symbol|Stone with Sword Symbol
stone off back|Stone with Sword Symbol
aluminum hook|Aluminum Hook
hook|Aluminum Hook
old datapad|Old datapad
datapad|Old datapad
old data pad|Old datapad
data pad|Old datapad
altar|Altar
slot1|Slot1
slot 1|Slot1
slot one|Slot1
slot2|Slot2
slot 2|Slot2
slot two|Slot2
slot3|Slot3
slot 3|Slot3
slot three|Slot3
stringlike vines|string-like vines
string like vines|string-like vines
string vines|string-like vines
door with strange writing|Door with strange writing
door|Door with strange writing
strange door|Door with strange writing
door with writing|Door with strange writing
fishing pole|Makeshift Fishing Pole
fishing rod|Makeshift Fishing Pole
makeshift fishing pole|Makeshift Fishing Pole
makeshift fishing rod|Makeshift Fishing Pole
fish|Fish
