base of tree|Starting Room
tree base|Starting Room
treebase|Starting Room
bottom of tree|Starting Room
tree bottom|Starting Room
starting room|Starting Room
start|Starting Room
start tree|Starting Room
top of tree|Top of Tree
tree top|Top of Tree
treetop|Top of Tree
treetops|Top of Tree
pool of water|Pool of Water
pool|Pool of Water
water pool|Pool of Water
field of grazing animals|Field with Grazing Animals
field with grazing animals|Field with Grazing Animals
field|Field with Grazing Animals
animal field|Field with Grazing Animals
predator den|Predator Den
den|Predator Den
rock outcropping|Predator Den
caves|Caves
cave|Caves
tech ruins|Tech Ruin
tech ruin|Tech Ruin
magic ruins|Magic Dome
ruins of magic|Magic Dome
magic dome|Magic Dome
strange teleportation circle|Magic Dome
teleporter|Magic Dome
teleportation circle|Magic Dome
transporter|Magic Dome
personal cabin|Personal Cabin
cabin|Personal Cabin
galley|Galley
mess hall|Galley
kitchen|Galley
dining|Galley
cafeteria|Galley
canteen|Galley
engine room|Engine Room
head|The Head
the head|The Head
latrine|Latrine
bathroom|Latrine
med bay|Med Bay
medical bay|Med Bay
armory|Armory
helm|Helm
bridge|Helm
north|north
up|up
left|left
west|west
east|east
right|right
south|south
down|down
