go|go
climb|go
run|go
walk|go
take|take
collect|take
grab|take
interact|take
pick up|take
put|put
set|put
use|put
place|put
drop|drop
remove|drop
look|look
view|look
observe|look
examine|look at
look at|look at
help|help
inventory|inventory
bag|inventory
sneak|sneak
hide|sneak
crouch|sneak
crush|crush
smash|crush
break|crush
mix|mix
stir|mix
cut|cut
slash|cut
slice|cut
exit|exit
quit|exit
hint|hint
clue|hint
move toward|move toward
savegame|savegame
save|savegame
save game|savegame
loadgame|loadgame
load|loadgame
load game|loadgame
warp|warp
teleport|warp
